area,aqi_value
Bilaspur,72.05925925925926
Chikkaballapur,71.9645390070922
Karur,71.07766990291262
Chengalpattu,70.43333333333334
Palwal,69.2
Eloor,68.48571428571428
Dharwad,68.20149253731343
Vijayawada,68.08333333333333
Pudukottai,67.275
Tiruchirappalli,67.08661417322834
Satna,66.46825396825396
Kalaburagi,66.24666666666667
Cuddalore,65.20833333333333
Aizawl,64.91666666666667
Varanasi,63.27333333333333
Kolar,63.08641975308642
Sivasagar,62.705479452054796
Madurai,60.720588235294116
Bareilly,60.6554054054054
Anantapur,60.544
Namakkal,59.95454545454545
Silchar,59.014084507042256
Karwar,58.51724137931034
Ariyalur,58.27450980392157
Puducherry,57.717241379310344
Sri Vijaya Puram,57.706896551724135
Kannur,57.6015625
Thrissur,57.524193548387096
Koppal,56.8252427184466
Kanchipuram,55.470588235294116
Mysuru,54.753846153846155
Gadag,53.598130841121495
Shivamogga,53.41726618705036
Belgaum,52.9080459770115
Thoothukudi,52.88811188811189
Hubballi,51.23571428571429
Maihar,50.90909090909091
Haveri,49.53658536585366
Nagapattinam,48.8125
Chikkamagaluru,48.68627450980392
Ramanathapuram,47.53174603174603
Bagalkot,45.73684210526316
Thanjavur,45.51304347826087
Chamarajanagar,44.80769230769231
Vijayapura,44.32876712328767
Madikeri,42.95104895104895
Palkalaiperur,42.794871794871796
Tirunelveli,33.310077519379846
